0,1: Indonesia,5108.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
1,1: Thailand,7297.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
2,1: Singapore,87884.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
3,1: Philippines,3859.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
4,1: Vietnam,4316.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
5,1: Malaysia,13034.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
6,1: Myanmar,1381.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
7,1: Cambodia,1915.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
8,1: Brunei,34383.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
9,1: Laos,1878.00,,USD,GDP Nominal Per Capita by Our World in Data (2023)
10,2: Indonesia,1530.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
11,2: Thailand,1457.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
12,2: Singapore,2880.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
13,2: Philippines,2308.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
14,2: Vietnam,1251.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
15,2: Malaysia,2252.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
16,2: Myanmar,778.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
17,2: Cambodia,969.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
18,2: Brunei,6282.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
19,2: Laos,759.00,,USD,GDP Nominal Per Capita by Our World in Data (1958)
20,3: Bernard Arnault (Louis Vuitton),211.00,,USD (in Billions),World Richest People by Forbes (2023)
21,3: Elon Musk (Tesla),180.00,,USD (in Billions),World Richest People by Forbes (2023)
22,3: Jeff Bezos (Amazon),114.00,,USD (in Billions),World Richest People by Forbes (2023)
23,3: Larry Ellison (Oracle),107.00,,USD (in Billions),World Richest People by Forbes (2023)
24,3: Warren Buffet (Berkshire Hathaway),106.00,,USD (in Billions),World Richest People by Forbes (2023)
25,3: Bill Gates (Microsoft),104.00,,USD (in Billions),World Richest People by Forbes (2023)
26,3: Michael Bloomberg (Bloomberg Media),94.50,,USD (in Billions),World Richest People by Forbes (2023)
27,3: Carlos Slim (America Movil),93.00,,USD (in Billions),World Richest People by Forbes (2023)
28,3: Mukesh Ambani (Reliance Industries),83.40,,USD (in Billions),World Richest People by Forbes (2023)
29,3: Steve Ballmer (Microsoft),80.70,,USD (in Billions),World Richest People by Forbes (2023)
30,4: Liberia ,1788.00,,USD,World Poorest Countries by Global Finance in per Capita (2023)
31,4: Chad,1787.00,,USD,World Poorest Countries by Global Finance in per Capita (2023)
